Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2019-03-12,11524.169921875,11618.73046875,11499.4697265625,11612.4599609375,87365300
2019-03-13,11572.41015625,11586.900390625,11486.740234375,11499.3203125,78369100
2019-03-14,11587.4697265625,11635.759765625,11541.099609375,11573.419921875,87594200
2019-03-15,11685.6904296875,11725.66015625,11575.330078125,11608.669921875,187987500
2019-03-18,11657.0595703125,11712.3603515625,11635.8798828125,11685.5400390625,91113700
2019-03-19,11788.41015625,11823.2900390625,11652.01953125,11672.759765625,81542500
2019-03-20,11603.8896484375,11721.41015625,11596.2001953125,11704.4404296875,100826500
2019-03-21,11549.9599609375,11582.5400390625,11467.7900390625,11566.8701171875,91619300
2019-03-22,11364.169921875,11623.9697265625,11356.490234375,11578.3896484375,112187500
2019-03-25,11346.650390625,11392.0,11312.5400390625,11323.2001953125,75056300
2019-03-26,11419.48046875,11447.1298828125,11299.7998046875,11374.1796875,79984300
2019-03-27,11419.0400390625,11502.349609375,11368.1298828125,11439.01953125,102107000
2019-03-28,11428.16015625,11494.150390625,11414.66015625,11422.16015625,89405300
2019-03-29,11526.0400390625,11549.419921875,11442.1201171875,11492.08984375,89325500
2019-04-01,11681.990234375,11706.6396484375,11612.7001953125,11617.1796875,96979200
2019-04-02,11754.7900390625,11777.650390625,11659.150390625,11703.240234375,77384300
2019-04-03,11954.400390625,11961.3603515625,11854.2099609375,11855.400390625,93396300
2019-04-04,11988.009765625,12029.259765625,11916.5703125,11924.6103515625,77816900
2019-04-05,12009.75,12024.23046875,11967.7001953125,11993.2197265625,72712300
2019-04-08,11963.400390625,11989.58984375,11948.259765625,11979.73046875,63676500
2019-04-09,11850.5703125,11988.5302734375,11850.5703125,11927.009765625,65890100
2019-04-10,11905.91015625,11937.1103515625,11863.7998046875,11864.4599609375,68624100
2019-04-11,11935.2001953125,11963.4296875,11846.599609375,11914.509765625,78550400
2019-04-12,11999.9296875,12031.150390625,11889.990234375,11912.580078125,92887200
2019-04-15,12020.2802734375,12029.98046875,11983.330078125,12011.1103515625,65121600
2019-04-16,12101.3203125,12116.25,12025.66015625,12026.740234375,83377900
2019-04-17,12153.0703125,12195.0,12086.8896484375,12100.4404296875,102282300
2019-04-18,12222.3896484375,12243.6298828125,12100.0,12138.1396484375,108852300
2019-04-23,12235.509765625,12251.8095703125,12182.98046875,12224.3203125,77350700
2019-04-24,12313.16015625,12349.830078125,12223.98046875,12232.990234375,106440300
2019-04-25,12282.599609375,12321.7900390625,12236.1396484375,12304.5302734375,96274900
2019-04-26,12315.1796875,12323.6396484375,12259.759765625,12284.4599609375,90044700
2019-04-29,12328.01953125,12376.0595703125,12266.33984375,12308.98046875,70678500
2019-04-30,12344.080078125,12345.3095703125,12281.7197265625,12313.9697265625,82443700
2019-05-02,12345.419921875,12402.8701171875,12303.9599609375,12349.099609375,96355900
2019-05-03,12412.75,12435.669921875,12344.23046875,12345.3203125,79121200
2019-05-06,12286.8798828125,12298.66015625,12135.419921875,12171.900390625,88426500
2019-05-07,12092.740234375,12319.0498046875,12056.7998046875,12298.7099609375,109809200
2019-05-08,12179.9296875,12208.48046875,12063.740234375,12110.8701171875,101037000
2019-05-09,11973.919921875,12125.9599609375,11957.3095703125,12098.01953125,109425400
2019-05-10,12059.830078125,12140.6103515625,12009.75,12105.2802734375,142098700
2019-05-13,11876.650390625,12052.9296875,11844.4697265625,12044.099609375,110572100
2019-05-14,11991.6201171875,11991.830078125,11897.9296875,11908.76953125,106200000
2019-05-15,12099.5703125,12099.5703125,11862.2099609375,12018.4501953125,125835700
2019-05-16,12310.3701171875,12310.3701171875,12030.2998046875,12077.3603515625,109001200
2019-05-17,12238.9404296875,12270.8896484375,12150.330078125,12252.6796875,104474100
2019-05-20,12041.2900390625,12246.5,11993.91015625,12226.849609375,105412700
2019-05-21,12143.4697265625,12178.25,12066.900390625,12111.7998046875,90829900
2019-05-22,12168.740234375,12211.0302734375,12055.5,12141.4599609375,87115400
2019-05-23,11952.41015625,12082.75,11926.33984375,12064.2900390625,118104500
2019-05-24,12011.0400390625,12082.0498046875,11990.7900390625,12027.3095703125,82359600
2019-05-27,12071.1796875,12124.5498046875,12050.490234375,12077.8798828125,43767900
2019-05-28,12027.0498046875,12113.3095703125,11992.41015625,12100.3896484375,121297400
2019-05-29,11837.8095703125,11927.6396484375,11828.75,11906.01953125,90848600
2019-05-30,11902.080078125,11924.66015625,11858.2900390625,11885.0703125,47889500
2019-05-31,11726.83984375,11755.1201171875,11662.0703125,11742.2099609375,98490800
2019-06-03,11792.8095703125,11793.6298828125,11620.6396484375,11661.1201171875,104353700
2019-06-04,11971.169921875,11987.8896484375,11713.8701171875,11716.5498046875,107666100
2019-06-05,11980.8095703125,12057.73046875,11928.8701171875,11981.1796875,81806600
2019-06-06,11953.1396484375,12076.9501953125,11899.8203125,11987.919921875,89561100
2019-06-07,12045.3798828125,12096.6103515625,11987.169921875,12003.919921875,80549900
2019-06-11,12155.8095703125,12227.400390625,12117.33984375,12133.599609375,95140700
2019-06-12,12115.6796875,12132.2802734375,12068.1103515625,12093.98046875,69957400
2019-06-13,12169.0498046875,12201.7802734375,12079.599609375,12095.2099609375,69172100
2019-06-14,12096.400390625,12136.650390625,12049.759765625,12124.3603515625,70037500
2019-06-17,12085.8203125,12124.6796875,12059.919921875,12112.4697265625,84991300
2019-06-18,12331.75,12358.0,11987.5498046875,12069.3701171875,153990400
2019-06-19,12308.5302734375,12346.7001953125,12291.1904296875,12321.4296875,104190600
2019-06-20,12355.3896484375,12438.3701171875,12355.3896484375,12409.580078125,95166000
2019-06-21,12339.919921875,12425.2001953125,12316.41015625,12351.98046875,210689700
2019-06-24,12274.5703125,12341.5595703125,12250.7099609375,12308.1103515625,89756300
2019-06-25,12228.4404296875,12284.5703125,12213.41015625,12226.8798828125,73907200
2019-06-26,12245.3203125,12315.83984375,12189.490234375,12210.51953125,87524700
2019-06-27,12271.0302734375,12334.5703125,12209.33984375,12308.259765625,85035600
2019-06-28,12398.7998046875,12408.2197265625,12297.6298828125,12302.76953125,99449300
2019-07-01,12521.3798828125,12619.6796875,12519.2998046875,12616.33984375,93740000
2019-07-02,12526.7197265625,12548.2197265625,12484.259765625,12546.9296875,68934500
2019-07-03,12616.240234375,12631.8095703125,12545.7900390625,12548.2998046875,70392700
2019-07-04,12629.900390625,12656.0498046875,12616.2900390625,12644.349609375,54651300
2019-07-05,12568.5302734375,12632.1201171875,12522.1103515625,12632.1201171875,79900200
2019-07-08,12543.509765625,12587.4404296875,12507.7197265625,12541.1796875,91084400
2019-07-09,12436.5498046875,12477.580078125,12364.16015625,12436.9697265625,105796900
2019-07-10,12373.41015625,12448.8095703125,12356.7998046875,12412.990234375,80443400
